NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-11-11;Home;Majors de 74;Si;18;348;38;6;0;49;0;5
CATALUNYA;CATALUNYA;2020-11-11;Home;Menors de 15;No;226;3397;1031;3;0;5;0;0
CATALUNYA;CATALUNYA;2020-11-11;Home;Menors de 15;Si;0;5;1;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-10;Altres;N/A;--;83;635;37;5;3;108;24;1
CATALUNYA;CATALUNYA;2020-11-10;Dona;Entre 15 i 64;No;1040;10884;4451;48;5;319;66;2
CATALUNYA;CATALUNYA;2020-11-10;Dona;Entre 15 i 64;Si;13;142;7;0;0;8;1;0
CATALUNYA;CATALUNYA;2020-11-10;Dona;Entre 65 i 74;No;115;820;377;13;9;197;50;1
CATALUNYA;CATALUNYA;2020-11-10;Dona;Entre 65 i 74;Si;12;111;11;0;0;5;0;0
CATALUNYA;CATALUNYA;2020-11-10;Dona;Majors de 74;No;155;1140;397;30;7;409;23;18
CATALUNYA;CATALUNYA;2020-11-10;Dona;Majors de 74;Si;96;1300;80;3;0;74;1;15
CATALUNYA;CATALUNYA;2020-11-10;Dona;Menors de 15;No;267;3673;995;2;0;1;0;0
CATALUNYA;CATALUNYA;2020-11-10;Dona;Menors de 15;Si;0;0;0;0;0;0;0;0
CATALUNYA;CATALUNYA;2020-11-10;Home;Entre 15 i 64;No;923;6599;3385;60;17;618;177;1
CATALUNYA;CATALUNYA;2020-11-10;Home;Entre 15 i 64;Si;48;262;18;2;0;16;2;0
CATALUNYA;CATALUNYA;2020-11-10;Home;Entre 65 i 74;No;95;801;293;26;17;359;114;6
CATALUNYA;CATALUNYA;2020-11-10;Home;Entre 65 i 74;Si;24;109;10;0;0;13;2;0
CATALUNYA;CATALUNYA;2020-11-10;Home;Majors de 74;No;99;916;296;50;8;484;62;17
CATALUNYA;CATALUNYA;2020-11-10;Home;Majors de 74;Si;37;380;24;5;0;48;0;6
CATALUNYA;CATALUNYA;2020-11-10;Home;Menors de 15;No;293;4042;1155;0;3;2;1;0
